Estimate,Est.Error,Q2.5,Q97.5,type,species,trait,n_obs
0.7098446571204247,0.024474128867889054,0.6546919859740464,0.7509677619156987,fit_total,BETNAN,height,235
0.24994338776891928,0.07290551362059701,0.11191820106410595,0.3906666065515954,fit_fixed,BETNAN,height,235
0.6025929327546484,0.046111681946830865,0.5066293818891809,0.6863082865070759,loo_total,BETNAN,height,235
0.2529436485415035,0.05332491624089088,0.14754919218397186,0.3525130934442436,loo_fixed,BETNAN,height,235
0.41956715831208574,0.08231023413986639,0.24066741239517858,0.5584606479266552,fit_total,BISVIV,height,56
0.33443575602496145,0.1172075951762213,0.11074252693067152,0.5425368091811356,fit_fixed,BISVIV,height,56
0.17296661971714813,0.12153732154219431,-0.0928701272147824,0.3798314576262961,loo_total,BISVIV,height,56
0.1592013076890637,0.09442837246754675,-0.04868067155815664,0.3264471939307284,loo_fixed,BISVIV,height,56
0.5382348574948367,0.041788878798108456,0.4491091702263198,0.6096275073739328,fit_total,SOLVIR,height,203
0.176305822540613,0.05099406458055225,0.08903848632192721,0.2927038211753331,fit_fixed,SOLVIR,height,203
0.3984783639187106,0.06216275914197009,0.26887835697931123,0.5112277233982965,loo_total,SOLVIR,height,203
0.0597708779150126,0.055411304526178894,-0.043531276806500235,0.17136633500625167,loo_fixed,SOLVIR,height,203
0.6108651341600743,0.02150527068441099,0.5657983331923168,0.6496304062785953,fit_total,VACMYR,height,512
0.08719188645839643,0.03050953990187072,0.03404979459301918,0.1519059008341992,fit_fixed,VACMYR,height,512
0.5087085218070588,0.03199154903426125,0.4438835317345025,0.5707799796599075,loo_total,VACMYR,height,512
-0.0660512654205767,0.030196024336082507,-0.12622383735824907,-0.007172427549636563,loo_fixed,VACMYR,height,512
0.5679947501825446,0.04182453976944514,0.4758737003503933,0.6384848277731525,fit_total,VACULI,height,168
0.22766010641699183,0.0747423125169534,0.08069182066182612,0.3719271636769058,fit_fixed,VACULI,height,168
0.4559996911103816,0.059595146509753796,0.33003794932197283,0.5646449661762191,loo_total,VACULI,height,168
0.17207216332990588,0.055621004048156585,0.05867523833744667,0.2770857793584689,loo_fixed,VACULI,height,168
0.5823912150181402,0.02210219380580837,0.5356518784431634,0.6222424097856253,fit_total,VACVIT,height,543
0.07247367328191347,0.02791162035578145,0.026438104069683728,0.13512023969171963,fit_fixed,VACVIT,height,543
0.48812461216585695,0.030074352913688613,0.42672932577514927,0.545302286168781,loo_total,VACVIT,height,543
0.05677362653533419,0.024750072998027377,0.005936811684260243,0.1031446024471311,loo_fixed,VACVIT,height,543
0.5205639295946273,0.023355488722178935,0.4724741388703636,0.5639686124978268,fit_total,BETNAN,LA,492
0.10048879416735305,0.04335649716850785,0.030226134913054238,0.19796193442427565,fit_fixed,BETNAN,LA,492
0.43555938399741245,0.03602270760669935,0.3615757613032524,0.5032403463447512,loo_total,BETNAN,LA,492
0.04096862052292496,0.018892353181255286,0.003682047072343917,0.07739742459379677,loo_fixed,BETNAN,LA,492
0.4313698940164872,0.07788286837070546,0.2597756255545042,0.5636303515285523,fit_total,BISVIV,LA,52
0.29461642473753924,0.12093609008807858,0.07234663878935857,0.5283718869119172,fit_fixed,BISVIV,LA,52
0.20433783895977428,0.12468496156414663,-0.07386776351459301,0.4156747569755312,loo_total,BISVIV,LA,52
-0.11102234137813038,0.04931733384957049,-0.2209123252259631,-0.0243028619097344,loo_fixed,BISVIV,LA,52
0.6107989896475589,0.03451222920746274,0.533693906291722,0.6701958923227009,fit_total,SOLVIR,LA,202
0.1337603420242963,0.04755685982508659,0.047310402874407416,0.23027386900840988,fit_fixed,SOLVIR,LA,202
0.48882698098391053,0.05764006333034514,0.364174510247608,0.5899763954735213,loo_total,SOLVIR,LA,202
-0.19948863643353507,0.055167301747928915,-0.3116290800177009,-0.09785869923487546,loo_fixed,SOLVIR,LA,202
0.5011063382359685,0.017215676282338534,0.465008258549917,0.5328407401317409,fit_total,VACMYR,LA,1020
0.054939601349844436,0.027383389407483725,0.013284229098764911,0.11743739069055055,fit_fixed,VACMYR,LA,1020
0.43503722227673225,0.023903597492268416,0.38696471617362493,0.480360422364632,loo_total,VACMYR,LA,1020
-0.041288868213902846,0.012717021062605968,-0.06640619814208455,-0.01665592157340863,loo_fixed,VACMYR,LA,1020
0.6063242404047112,0.01792153413542974,0.5682703547136139,0.637678261070245,fit_total,VACULI,LA,344
0.21468695723612585,0.07260818824897533,0.07812489184655233,0.35690905079247387,fit_fixed,VACULI,LA,344
0.5427206262021271,0.03601976963845949,0.467593284106705,0.6092930788757306,loo_total,VACULI,LA,344
0.16428598107604672,0.03379082096745227,0.0956099539446254,0.22953805428104843,loo_fixed,VACULI,LA,344
0.44020185989781163,0.019093925712769792,0.40102562796819347,0.4757107181945379,fit_total,VACVIT,LA,1075
0.048294360947526094,0.027422992854582818,0.00899329761321306,0.11433668655856277,fit_fixed,VACVIT,LA,1075
0.3704159629517738,0.023912312700152642,0.32287830602500683,0.415815518102669,loo_total,VACVIT,LA,1075
0.04207457998729209,0.011483171835763587,0.019308870140856933,0.064279344909638,loo_fixed,VACVIT,LA,1075
0.42106439774533977,0.03209903748247045,0.3547943036628519,0.4795546612286597,fit_total,BETNAN,LDMC,77
0.4171908513232966,0.034294513491626925,0.3459550273462795,0.4806690817459812,fit_fixed,BETNAN,LDMC,77
0.36851753292841477,0.07648393179130887,0.2048890324248945,0.5028591141901355,loo_total,BETNAN,LDMC,77
0.3780061359451293,0.07199277655454596,0.22527478028745865,0.5061685000886537,loo_fixed,BETNAN,LDMC,77
